GEO,REF_DATE,National Occupational Classification (NOC),VALUE
Alberta,2019-06,"Helpers and labourers and other transport drivers, operators and labourers",126.6
Alberta,2019-06,"Labourers in processing, manufacturing and utilities",23.5
Alberta,2019-06,Legislative and senior management occupations,16.2
Alberta,2019-06,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",68.2
Alberta,2019-06,"Mail and message distribution, other transport equipment operators and related maintenance workers",30.8
Alberta,2019-06,Management occupations,381.4
Alberta,2019-06,Middle management occupations in retail and wholesale trade and customer services,106.4
Alberta,2019-06,"Middle management occupations in trades, transportation, production and utilities",160.1
Alberta,2019-06,"Natural and applied sciences and related occupations, except management",350.29999999999995
Alberta,2019-06,"Natural resources, agriculture and related production occupations, except management",161.8
Alberta,2019-06,Nursing and allied health professionals,95.3
Alberta,2019-06,"Occupations in art, culture and sport",23.1
Alberta,2019-06,"Occupations in art, culture, recreation and sport, except management",99.3
Alberta,2019-06,"Occupations in education, law and social, community and government services, except management",463.6
Alberta,2019-06,Occupations in front-line public protection services,30.2
Alberta,2019-06,"Occupations in manufacturing and utilities, except management",168.8
Alberta,2019-06,Occupations in sales and services,171.9
Alberta,2019-06,"Paraprofessional occupations in legal, social, community and education services",74.0
Alberta,2019-06,Professional occupations in applied sciences (except engineering),89.3
Alberta,2019-06,Professional occupations in art and culture,19.8
Alberta,2019-06,Professional occupations in business,81.9
Alberta,2019-06,Professional occupations in education services,155.4
Alberta,2019-06,Professional occupations in engineering,69.5
Alberta,2019-06,Professional occupations in finance,101.3
Alberta,2019-06,Professional occupations in finance and business,187.20000000000002
Alberta,2019-06,Professional occupations in government services,34.6
Alberta,2019-06,Professional occupations in health,164.0
Alberta,2019-06,Professional occupations in law,25.1
Alberta,2019-06,"Professional occupations in law, education, social, community and government services",267.5
Alberta,2019-06,Professional occupations in natural and applied sciences,195.2
Alberta,2019-06,Professional occupations in natural sciences,28.0
Alberta,2019-06,Professional occupations in social and community services,47.0
Alberta,2019-06,Retail sales and service supervisors and specialized occupations in sales and services,173.2
Alberta,2019-06,"Sales and service occupations, except management",1097.3
Alberta,2019-06,Sales and service representatives and other customer and personal services occupations,314.8
Alberta,2019-06,Sales and service support occupations,437.5
Alberta,2019-06,Specialized middle management occupations,94.4
Alberta,2019-06,"Supervisors and occupations in natural resources, agriculture and related production",80.2
Alberta,2019-06,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors",71.3
Alberta,2019-06,"Support occupations in art, culture and sport",31.0
Alberta,2019-06,"Technical occupations in art, culture and sport",22.1
Alberta,2019-06,Technical occupations in health,75.1
Alberta,2019-06,Technical occupations related to natural and applied sciences,152.8
Alberta,2019-06,Technical trades and transportation officers and controllers,458.2
Alberta,2019-06,Therapy and assessment professionals,26.4
Alberta,2019-06,"Trades, transport and equipment operators and related occupations, except management",843.7
Alberta,2019-06,"Workers and labourers in natural resources, agriculture and related production",81.8
Alberta,2019-07,Administrative and financial supervisors and specialized administrative occupations,164.4
Alberta,2019-07,Administrative and financial support and supply chain logistics occupations,222.2
Alberta,2019-07,Administrative occupations and transportation logistics occupations,180.20000000000002
Alberta,2019-07,Assisting occupations in education and in legal and public protection,47.9
Alberta,2019-07,Assisting occupations in support of health services,82.6
Alberta,2019-07,"Business, finance and administration occupations, except management",758.9
Alberta,2019-07,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations",26.1
Alberta,2019-07,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",107.6
Alberta,2019-07,General trades,228.29999999999998
Alberta,2019-07,"Health occupations, except management",337.3
Alberta,2019-07,Health treating and consultation services professionals,39.7
Alberta,2019-07,"Helpers and labourers and other transport drivers, operators and labourers",128.5
Alberta,2019-07,"Labourers in processing, manufacturing and utilities",23.6
Alberta,2019-07,Legislative and senior management occupations,13.7
Alberta,2019-07,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",71.3
Alberta,2019-07,"Mail and message distribution, other transport equipment operators and related maintenance workers",32.1
Alberta,2019-07,Management occupations,384.5
Alberta,2019-07,Middle management occupations in retail and wholesale trade and customer services,107.5
Alberta,2019-07,"Middle management occupations in trades, transportation, production and utilities",155.4
Alberta,2019-07,"Natural and applied sciences and related occupations, except management",351.3
Alberta,2019-07,"Natural resources, agriculture and related production occupations, except management",184.0
Alberta,2019-07,Nursing and allied health professionals,97.8
Alberta,2019-07,"Occupations in art, culture and sport",23.4
Alberta,2019-07,"Occupations in art, culture, recreation and sport, except management",96.6
Alberta,2019-07,"Occupations in education, law and social, community and government services, except management",451.90000000000003
Alberta,2019-07,Occupations in front-line public protection services,29.8
Alberta,2019-07,"Occupations in manufacturing and utilities, except management",167.0
Alberta,2019-07,Occupations in sales and services,165.2
Alberta,2019-07,"Paraprofessional occupations in legal, social, community and education services",73.9
Alberta,2019-07,Professional occupations in applied sciences (except engineering),95.6
Alberta,2019-07,Professional occupations in art and culture,18.3
Alberta,2019-07,Professional occupations in business,80.1
Alberta,2019-07,Professional occupations in education services,150.8
Alberta,2019-07,Professional occupations in engineering,71.2
Alberta,2019-07,Professional occupations in finance,107.0
Alberta,2019-07,Professional occupations in finance and business,191.3
Alberta,2019-07,Professional occupations in government services,34.9
Alberta,2019-07,Professional occupations in health,168.5
Alberta,2019-07,Professional occupations in law,29.3
Alberta,2019-07,"Professional occupations in law, education, social, community and government services",262.9
Alberta,2019-07,Professional occupations in natural and applied sciences,202.9
Alberta,2019-07,Professional occupations in natural sciences,26.2
Alberta,2019-07,Professional occupations in social and community services,42.9
Alberta,2019-07,Retail sales and service supervisors and specialized occupations in sales and services,174.4
Alberta,2019-07,"Sales and service occupations, except management",1089.8
Alberta,2019-07,Sales and service representatives and other customer and personal services occupations,305.1
Alberta,2019-07,Sales and service support occupations,444.9
Alberta,2019-07,Specialized middle management occupations,104.4
Alberta,2019-07,"Supervisors and occupations in natural resources, agriculture and related production",83.7
Alberta,2019-07,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors",66.39999999999999
Alberta,2019-07,"Support occupations in art, culture and sport",29.299999999999997
Alberta,2019-07,"Technical occupations in art, culture and sport",21.8
Alberta,2019-07,Technical occupations in health,79.9
Alberta,2019-07,Technical occupations related to natural and applied sciences,147.5
Alberta,2019-07,Technical trades and transportation officers and controllers,458.09999999999997
Alberta,2019-07,Therapy and assessment professionals,28.3
Alberta,2019-07,"Trades, transport and equipment operators and related occupations, except management",851.7
Alberta,2019-07,"Workers and labourers in natural resources, agriculture and related production",100.5
Alberta,2019-08,Administrative and financial supervisors and specialized administrative occupations,164.0
Alberta,2019-08,Administrative and financial support and supply chain logistics occupations,225.8
Alberta,2019-08,Administrative occupations and transportation logistics occupations,178.3
Alberta,2019-08,Assisting occupations in education and in legal and public protection,34.199999999999996
Alberta,2019-08,Assisting occupations in support of health services,83.1
Alberta,2019-08,"Business, finance and administration occupations, except management",769.0
Alberta,2019-08,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations",27.3
Alberta,2019-08,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",99.6
Alberta,2019-08,General trades,240.1
Alberta,2019-08,"Health occupations, except management",344.7
Alberta,2019-08,Health treating and consultation services professionals,41.0
Alberta,2019-08,"Helpers and labourers and other transport drivers, operators and labourers",127.9
Alberta,2019-08,"Labourers in processing, manufacturing and utilities",24.3
Alberta,2019-08,Legislative and senior management occupations,10.5
Alberta,2019-08,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",74.6
Alberta,2019-08,"Mail and message distribution, other transport equipment operators and related maintenance workers",33.3
Alberta,2019-08,Management occupations,384.9
Alberta,2019-08,Middle management occupations in retail and wholesale trade and customer services,105.89999999999999
Alberta,2019-08,"Middle management occupations in trades, transportation, production and utilities",156.70000000000002
Alberta,2019-08,"Natural and applied sciences and related occupations, except management",348.0
Alberta,2019-08,"Natural resources, agriculture and related production occupations, except management",198.4
Alberta,2019-08,Nursing and allied health professionals,102.3
Alberta,2019-08,"Occupations in art, culture and sport",22.4
Alberta,2019-08,"Occupations in art, culture, recreation and sport, except management",97.19999999999999
Alberta,2019-08,"Occupations in education, law and social, community and government services, except management",432.6
Alberta,2019-08,Occupations in front-line public protection services,28.7
Alberta,2019-08,"Occupations in manufacturing and utilities, except management",165.0
Alberta,2019-08,Occupations in sales and services,157.89999999999998
Alberta,2019-08,"Paraprofessional occupations in legal, social, community and education services",65.7
Alberta,2019-08,Professional occupations in applied sciences (except engineering),96.3
Alberta,2019-08,Professional occupations in art and culture,19.4
Alberta,2019-08,Professional occupations in business,83.5
Alberta,2019-08,Professional occupations in education services,143.6
Alberta,2019-08,Professional occupations in engineering,71.7
Alberta,2019-08,Professional occupations in finance,111.7
Alberta,2019-08,Professional occupations in finance and business,200.3
Alberta,2019-08,Professional occupations in government services,40.7
Alberta,2019-08,Professional occupations in health,173.7
Alberta,2019-08,Professional occupations in law,32.8
Alberta,2019-08,"Professional occupations in law, education, social, community and government services",262.4
Alberta,2019-08,Professional occupations in natural and applied sciences,201.2
Alberta,2019-08,Professional occupations in natural sciences,24.2
